paper_id,track,output_count,precision_at_5,precision_at_10,concept_recall_at_10,duplicate_rate,malformed_rate,matched_concepts,unmatched_concepts
drq_v2,nadiyah_repaired,10,1.0,1.0,0.6,0.0,0.0,"[""DeepMind Control Suite"", ""humanoid locomotion"", ""off-policy actor-critic"", ""pixel observations"", ""reinforcement learning"", ""visual continuous control""]","[""DrQ-v2"", ""computational efficiency"", ""data augmentation"", ""model-free RL""]"
drq_v2,reference,10,0.8,0.6,0.4,0.0,0.0,"[""DeepMind Control Suite"", ""DrQ-v2"", ""model-free RL"", ""visual continuous control""]","[""computational efficiency"", ""data augmentation"", ""humanoid locomotion"", ""off-policy actor-critic"", ""pixel observations"", ""reinforcement learning""]"
siga,nadiyah_repaired,10,0.8,0.6,0.4,0.0,0.0,"[""coding agent"", ""procedural memory"", ""scientific simulation"", ""simulator-interface grounding""]","[""GEOS"", ""SIGA"", ""TreeSim"", ""retrieval"", ""self-evolution"", ""validation""]"
siga,reference,10,1.0,0.7,0.6,0.0,0.0,"[""GEOS"", ""SIGA"", ""coding agent"", ""scientific simulation"", ""simulator-interface grounding"", ""validation""]","[""TreeSim"", ""procedural memory"", ""retrieval"", ""self-evolution""]"
transformer,nadiyah_repaired,10,0.8,0.5,0.5,0.0,0.0,"[""attention mechanism"", ""constituency parsing"", ""encoder-decoder"", ""machine translation"", ""self-attention""]","[""BLEU"", ""Transformer"", ""WMT 2014"", ""parallelization"", ""sequence transduction""]"
transformer,reference,10,0.4,0.4,0.5,0.0,0.0,"[""BLEU"", ""Transformer"", ""attention mechanism"", ""machine translation"", ""self-attention""]","[""WMT 2014"", ""constituency parsing"", ""encoder-decoder"", ""parallelization"", ""sequence transduction""]"
bert,nadiyah_repaired,10,0.6,0.5,0.6,0.0,0.0,"[""BERT"", ""bidirectional pre-training"", ""language inference"", ""language representation"", ""natural language processing"", ""question answering""]","[""GLUE"", ""MultiNLI"", ""SQuAD"", ""fine-tuning""]"
bert,reference,10,0.4,0.5,0.5,0.0,0.0,"[""BERT"", ""bidirectional pre-training"", ""language inference"", ""language representation"", ""natural language processing""]","[""GLUE"", ""MultiNLI"", ""SQuAD"", ""fine-tuning"", ""question answering""]"
rag,nadiyah_repaired,10,0.6,0.7,0.6,0.0,0.0,"[""factual generation"", ""knowledge-intensive NLP"", ""neural retriever"", ""non-parametric memory"", ""parametric memory"", ""retrieval-augmented generation""]","[""Wikipedia"", ""dense vector index"", ""open-domain QA"", ""seq2seq""]"
rag,reference,10,0.2,0.4,0.5,0.0,0.0,"[""factual generation"", ""knowledge-intensive NLP"", ""non-parametric memory"", ""parametric memory"", ""retrieval-augmented generation""]","[""Wikipedia"", ""dense vector index"", ""neural retriever"", ""open-domain QA"", ""seq2seq""]"
__aggregate__,nadiyah_repaired,10.0,0.76,0.66,0.54,0.0,0.0,,
__aggregate__,reference,10.0,0.56,0.52,0.5,0.0,0.0,,
