paper_id,track,execution_status,source_type,error,page_count,total_seconds,throughput_pages_per_second,observed_process_peak_rss_mb,parser_seconds,pos_seconds,ner_seconds,keyphrase_seconds,summary_seconds,structural_seconds,title_similarity,expected_section_count,detected_expected_section_count,section_recall,empty_section_rate,detected_sections,reference_count,reference_count_error,pos_correct,pos_total,pos_accuracy,structural_f1,structural_precision,structural_recall
drq_v2,nadiyah_original,blocked_by_as_supplied_baseline,real_pdf,See baseline/logs/original_baseline.json and original_runtime_probes.json,,,,,,,,,,,,,,,,,,,,,,,,
drq_v2,nadiyah_repaired,success,real_pdf,,18,24.604654,0.731569,2484.953,10.784272,0.064587,0.8715029999999999,0.464492,12.4198,,0.0,8,0,0.0,1.0,[],0,52,8,10,0.8,,,
drq_v2,reference,success,real_pdf,,18,1.131207,15.912207,2484.953,0.134265,0.957828,0.031208,0.004171,0.003479,0.000256,1.0,8,8,1.0,0.0,"[""abstract"", ""background"", ""conclusion"", ""experiments"", ""introduction"", ""method"", ""references"", ""related_work""]",52,0,8,10,0.8,1.0,1.0,1.0
siga,nadiyah_original,blocked_by_as_supplied_baseline,real_pdf,See baseline/logs/original_baseline.json and original_runtime_probes.json,,,,,,,,,,,,,,,,,,,,,,,,
siga,nadiyah_repaired,success,real_pdf,,31,17.191878,1.803177,2484.953,4.718285,0.009751,1.038811,0.631764,10.793267,,1.0,10,0,0.0,1.0,[],0,37,6,10,0.6,,,
siga,reference,success,real_pdf,,31,0.301599,102.785487,2484.953,0.129631,0.093384,0.071434,0.004591,0.00234,0.000219,1.0,10,10,1.0,0.0,"[""abstract"", ""background"", ""conclusion"", ""experiments"", ""introduction"", ""limitations"", ""method"", ""references"", ""related_work"", ""results""]",41,4,10,10,1.0,1.0,1.0,1.0
transformer,nadiyah_original,blocked_by_as_supplied_baseline,real_pdf,See baseline/logs/original_baseline.json and original_runtime_probes.json,,,,,,,,,,,,,,,,,,,,,,,,
transformer,nadiyah_repaired,success,real_pdf,,15,14.330455,1.046722,2484.953,2.523106,0.011719,1.6491569999999998,0.546206,9.600267,,0.0,7,0,0.0,1.0,[],0,40,9,10,0.9,,,
transformer,reference,success,real_pdf,,15,0.234351,64.006554,2484.953,0.099782,0.082759,0.044222,0.003977,0.003364,0.000247,1.0,7,7,1.0,0.0,"[""abstract"", ""background"", ""conclusion"", ""introduction"", ""method"", ""references"", ""results""]",43,3,9,10,0.9,1.0,1.0,1.0
bert,nadiyah_original,blocked_by_as_supplied_baseline,real_pdf,See baseline/logs/original_baseline.json and original_runtime_probes.json,,,,,,,,,,,,,,,,,,,,,,,,
bert,nadiyah_repaired,success,real_pdf,,16,15.392937,1.039438,2484.953,4.465088,0.006351,1.6516,0.487529,8.782369,,0.0,7,0,0.0,1.0,[],0,57,9,10,0.9,,,
bert,reference,success,real_pdf,,16,0.205545,77.841835,2484.953,0.10507,0.052688,0.04276,0.002581,0.00222,0.000226,1.0,7,7,1.0,0.0,"[""abstract"", ""conclusion"", ""experiments"", ""introduction"", ""method"", ""references"", ""related_work"", ""results""]",70,13,9,10,0.9,1.0,1.0,1.0
rag,nadiyah_original,blocked_by_as_supplied_baseline,real_pdf,See baseline/logs/original_baseline.json and original_runtime_probes.json,,,,,,,,,,,,,,,,,,,,,,,,
rag,nadiyah_repaired,success,real_pdf,,19,16.660339,1.140433,2484.953,3.817707,0.006758,1.1466409999999998,0.480278,11.208955,,0.0,8,0,0.0,1.0,"[""appendix""]",0,68,9,10,0.9,,,
rag,reference,success,real_pdf,,19,0.287863,66.00362,2484.953,0.081775,0.101481,0.071679,0.016983,0.014603,0.001342,1.0,8,8,1.0,0.0,"[""abstract"", ""discussion"", ""experiments"", ""introduction"", ""method"", ""references"", ""related_work"", ""results""]",96,28,10,10,1.0,1.0,1.0,1.0
