expected,f1,paper_id,precision,predicted,recall,track
8,0.359,drq_v2,0.2258,93,0.875,scier
8,0.7692,drq_v2,1.0,5,0.625,baseline
8,0.4,drq_v2,0.25,96,1.0,hybrid
9,0.1441,siga,0.092,87,0.3333,scier
9,0.4286,siga,0.6,5,0.3333,baseline
9,0.1835,siga,0.1099,91,0.5556,hybrid
10,0.2523,transformer,0.1443,97,1.0,scier
10,0.5,transformer,0.6667,6,0.4,baseline
10,0.3,transformer,0.1765,102,1.0,hybrid
8,0.1449,bert,0.082,183,0.625,scier
8,0.672,bert,0.5455,11,0.875,baseline
8,0.1963,bert,0.1088,193,1.0,hybrid
10,0.2278,rag,0.1475,61,0.5,scier
10,0.7368,rag,0.7778,9,0.7,baseline
10,0.3182,rag,0.2059,68,0.7,hybrid
